TRADEDATE,BOARDID,WAPRICE,CLOSE,OPEN,HIGH,LOW,TRENDCLSPR,NUMTRADES,TradingVolume_RUB,TradingVolume_CONTR,OpenPositionsVolum_RUB,OpenPositionsVolum_CONTR,MarginRequirements
2021-01-05,BRG1,51.73,52.87,51.24,53.06,50.58,0.0258,154728.0,74458569937.0,1937554.0,14354505023.0,365456.0,10978.0
2021-01-06,BRG1,53.76,54.33,52.94,54.62,52.67,0.0288,193366.0,98866320215.0,2486797.0,17508172524.0,435758.0,11107.0
2021-01-08,BRG1,54.69,55.42,54.31,55.49,53.11,0.02,142468.0,71925211898.0,1768768.0,18937569926.0,459570.0,9046.0
2021-01-11,BRG1,55.41,55.56,55.43,56.16,55.01,0.0018,125354.0,56102626259.0,1354714.0,19055391580.0,458902.0,9078.0
2021-01-12,BRG1,56.23,56.49,55.6,56.77,55.38,0.0158,139047.0,89514883910.0,2159580.0,40764531536.0,978984.0,9156.0
2021-01-13,BRG1,56.54,56.48,56.56,57.3,55.82,-0.0005,125746.0,55427166250.0,1331222.0,41565164262.0,999294.0,9105.0
2021-01-14,BRG1,55.92,55.48,56.4,56.53,55.28,-0.0163,123295.0,52323650295.0,1274476.0,41674261085.0,1023198.0,6697.0
2021-01-15,BRG1,55.59,54.97,55.57,56.55,54.71,-0.009399999999999999,128626.0,62498409339.0,1523055.0,43853250001.0,1080704.0,6603.0
2021-01-18,BRG1,54.97,54.96,54.94,55.25,54.56,-0.0004,113563.0,54507395628.0,1335991.0,42172419921.0,1033862.0,6666.0
2021-01-19,BRG1,55.43,55.95,54.96,56.07,54.74,0.018000000000000002,107806.0,45161546613.0,1103986.0,44017370382.0,1066014.0,6726.0
2021-01-20,BRG1,56.27,56.4,55.94,56.65,55.76,0.0068000000000000005,119097.0,47058194555.0,1138353.0,43930640406.0,1060252.0,6742.0
2021-01-21,BRG1,55.9,55.93,56.34,56.49,55.5,-0.0075,117432.0,46168783079.0,1121567.0,43215532775.0,1049304.0,6687.0
2021-01-22,BRG1,55.29,55.61,55.95,56.25,54.5,-0.0068000000000000005,151275.0,73624975663.0,1777548.0,41282915874.0,990910.0,6723.0
2021-01-25,BRG1,55.53,55.67,55.49,56.0,55.11,0.0022,125374.0,59039032045.0,1404243.0,42297729591.0,1003472.0,6739.0
2021-01-26,BRG1,55.9,55.96,55.54,56.36,55.14,0.005,119572.0,54584828110.0,1301555.0,40342822107.0,960852.0,6790.0
2021-01-27,BRG1,55.87,56.18,55.9,56.49,55.18,0.0063,106244.0,59190080180.0,1399778.0,30423279308.0,715558.0,6787.0
2021-01-28,BRG1,56.0,55.62,56.2,56.59,55.32,-0.0101,99531.0,55228759140.0,1296178.0,16627181582.0,392892.0,6778.0
2021-01-29,BRG1,55.79,56.08,55.74,56.37,55.02,0.006500000000000001,74669.0,26606529273.0,632936.0,10350974613.0,244974.0,6791.0
2021-02-02,BRH1,57.13,57.77,55.66,58.05,55.45,0.0384,158139.0,81222376412.0,1878699.0,30323310413.0,693570.0,7356.0
2021-02-03,BRH1,58.03,58.63,57.85,58.73,57.32,0.0149,131417.0,62392539371.0,1414890.0,32080644087.0,720016.0,7465.0
2021-02-04,BRH1,58.68,58.4,58.7,59.04,58.08,-0.0048,125074.0,72193671223.0,1625946.0,40294109204.0,911892.0,7364.0
2021-02-05,BRH1,59.27,59.54,58.42,59.9,58.28,0.02,126411.0,55624565819.0,1256469.0,38906571181.0,874822.0,7408.0
2021-02-08,BRH1,60.0,60.33,59.58,60.43,59.25,0.0131,105158.0,60598617648.0,1360191.0,47751904299.0,1065900.0,7449.0
2021-02-09,BRH1,60.61,60.59,60.32,61.28,60.09,0.0026,127193.0,59795990859.0,1332279.0,48005109458.0,1069906.0,7416.0
2021-02-10,BRH1,61.21,61.26,60.66,61.63,60.62,0.0139,117249.0,54453315252.0,1204120.0,49031890577.0,1083384.0,7464.0
2021-02-11,BRH1,61.28,61.38,61.4,61.71,60.84,0.0006,97501.0,42627130075.0,945118.0,47164067256.0,1044006.0,7453.0
2021-02-12,BRH1,61.0,61.55,61.36,61.68,60.37,0.0033,117167.0,56105602971.0,1243837.0,48376723114.0,1062850.0,7483.0
2021-02-15,BRH1,62.82,63.31,61.6,63.57,61.48,0.0292,137698.0,69968916415.0,1518750.0,48597986203.0,1046640.0,7583.0
2021-02-16,BRH1,63.14,63.04,63.4,63.73,62.7,-0.0052,119544.0,81045409311.0,1743019.0,39271210424.0,845916.0,7527.0
2021-02-17,BRH1,63.73,63.72,63.15,64.73,62.84,0.0098,175947.0,93254529984.0,1974054.0,40679725517.0,861292.0,7658.0
2021-02-18,BRH1,64.47,64.19,63.65,65.14,63.53,0.0077,170364.0,108770766341.0,2276769.0,50947230059.0,1071024.0,7687.0
