TRADEDATE,BOARDID,WAPRICE,CLOSE,OPEN,HIGH,LOW,TRENDCLSPR,NUMTRADES,TradingVolume_RUB,TradingVolume_CONTR,OpenPositionsVolum_RUB,OpenPositionsVolum_CONTR,MarginRequirements
2024-04-02,BRK4,88.67,89.01,88.04,89.34,87.72,0.012,59524.0,17898164550.0,218147.0,15100188578.0,183340.0,17910.0
2024-04-03,BRK4,89.54,89.89,88.99,90.21,88.46,0.01,47709.0,14759216783.0,178343.0,16600691364.0,199804.0,18024.0
2024-04-04,BRK4,89.61,89.47,89.91,90.07,89.16,-0.005,34429.0,10951516031.0,132517.0,16135565001.0,195548.0,17903.0
2024-04-05,BRK4,90.93,91.47,89.44,91.87,89.07,0.0229,69827.0,23670661763.0,281319.0,16057550857.0,189716.0,18245.0
2024-04-08,BRK4,90.7,90.24,91.58,92.14,89.81,-0.0146,64517.0,21673761520.0,257919.0,16368235395.0,195774.0,17998.0
2024-04-09,BRK4,90.53,90.04,90.13,91.14,89.71,-0.0017000000000000001,48737.0,17163815566.0,204200.0,17314241042.0,207116.0,17972.0
2024-04-10,BRK4,89.78,89.79,90.04,90.32,89.06,-0.0029,53268.0,18643837967.0,222169.0,17234200526.0,205348.0,17971.0
2024-04-11,BRK4,90.35,90.03,89.73,91.07,89.34,0.0032,58743.0,20192363076.0,239768.0,17802042148.0,212124.0,18086.0
2024-04-12,BRK4,91.2,91.25,90.07,92.35,89.85,0.0129,61222.0,22140944977.0,259868.0,16935228797.0,198670.0,18193.0
2024-04-15,BRK4,90.1,89.65,91.16,91.34,89.09,-0.0171,75158.0,24702561898.0,292469.0,20734199509.0,246712.0,17870.0
2024-04-16,BRK4,90.2,90.35,89.56,90.84,89.28,0.0078000000000000005,49694.0,17194916133.0,201947.0,19203364932.0,225152.0,18066.0
2024-04-17,BRK4,89.52,88.79,90.36,90.4,88.67,-0.0166,55737.0,19988177721.0,236880.0,20280957281.0,242314.0,17764.0
2024-04-18,BRK4,87.26,87.21,88.75,88.75,86.34,-0.0181,95258.0,34342638191.0,419483.0,21213492253.0,259254.0,17368.0
2024-04-19,BRK4,87.47,87.33,87.25,88.9,86.4,0.0016,94353.0,33475715371.0,410888.0,19435003859.0,238934.0,17164.0
2024-04-22,BRK4,86.7,87.1,87.38,87.93,85.94,-0.0034000000000000002,63974.0,22245703110.0,274900.0,18678802612.0,229754.0,17090.0
2024-04-23,BRK4,87.15,87.82,87.1,88.21,86.18,0.0088,77381.0,27632272939.0,340470.0,17867080425.0,218464.0,17209.0
2024-04-24,BRK4,88.23,88.1,87.87,88.78,87.7,0.0024,73004.0,25739625813.0,316228.0,15638421045.0,192406.0,17062.0
2024-04-25,BRK4,87.96,87.8,88.13,88.52,87.35,-0.0025,48274.0,16255782497.0,201028.0,13917693691.0,172432.0,16917.0
2024-04-26,BRK4,89.19,89.44,87.84,89.89,87.78,0.0183,57872.0,21536697374.0,263729.0,10759072096.0,131386.0,17156.0
2024-04-27,BRK4,89.42,89.24,89.45,89.66,89.17,-0.0025,8717.0,2692435107.0,32606.0,9602789560.0,116520.0,17042.0
2024-04-29,BRK4,88.74,88.54,89.22,89.35,88.17,-0.0075,26761.0,8154630360.0,98749.0,9362899599.0,113644.0,17104.0
2024-04-30,BRK4,88.32,87.85,88.55,88.85,87.61,-0.0079,28772.0,10696132169.0,130145.0,7719904194.0,94438.0,16943.0
2024-05-03,BRM4,84.08,83.71,83.69,84.67,83.5,0.0004,42973.0,13456930620.0,174884.0,20180313368.0,263418.0,16674.0
2024-05-06,BRM4,83.76,83.84,83.67,84.15,83.14,0.0018,36177.0,12551986736.0,164231.0,19236165760.0,251440.0,16612.0
2024-05-07,BRM4,83.5,83.36,83.82,84.1,82.83,-0.0052,44690.0,15276195573.0,200749.0,21151660823.0,278436.0,16463.0
2024-05-08,BRM4,83.1,83.91,83.43,84.14,82.18,0.0068000000000000005,63098.0,24047115784.0,314831.0,19799536116.0,256706.0,16663.0
2024-05-10,BRM4,84.27,83.87,83.89,84.76,83.59,-0.0012,30058.0,9988493030.0,128487.0,19165241253.0,247702.0,16628.0
2024-05-13,BRM4,83.44,83.4,83.85,84.08,82.82,-0.005600000000000001,44118.0,16048136280.0,210709.0,19610183073.0,257614.0,16355.0
