Date,FuturesCode,WeightedAvgPrice,SettlementPrice,FirstDealPrice,MaxPrice,MinPrice,LastDealPrice,Change,VolumeLastDeal,NumOfDeals,TradingVolume RUB,TradingVolume contr,OpenPositionsVolume RUB,OpenPositionsVolume contr,MarginRequirements
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
04.01.2021,BRF1,"51,28","51,26","51,35","51,53","51,14","51,27","-0,27 %",50,15 230,9 083 037 005,240 246,-,-,10 097
05.01.2021,BRG1,"51,73","52,87","51,24","53,06","50,58","52,86","+2,58 %",1,154 728,74 458 569 937,1 937 554,14 354 505 023,365 456,10 978
06.01.2021,BRG1,"53,76","54,33","52,94","54,62","52,67","54,38","+2,88 %",1,193 366,98 866 320 215,2 486 797,17 508 172 524,435 758,11 107
08.01.2021,BRG1,"54,69","55,42","54,31","55,49","53,11","55,47","+2,00 %",5,142 468,71 925 211 898,1 768 768,18 937 569 926,459 570,9 046
11.01.2021,BRG1,"55,41","55,56","55,43","56,16","55,01","55,57","+0,18 %",1,125 354,56 102 626 259,1 354 714,19 055 391 580,458 902,9 078
12.01.2021,BRG1,"56,23","56,49","55,6","56,77","55,38","56,45","+1,58 %",5,139 047,89 514 883 910,2 159 580,40 764 531 536,978 984,9 156
13.01.2021,BRG1,"56,54","56,48","56,56","57,3","55,82","56,42","-0,05 %",3,125 746,55 427 166 250,1 331 222,41 565 164 262,999 294,9 105
14.01.2021,BRG1,"55,92","55,48","56,4","56,53","55,28","55,5","-1,63 %",9,123 295,52 323 650 295,1 274 476,41 674 261 085,1 023 198,6 697
15.01.2021,BRG1,"55,59","54,97","55,57","56,55","54,71","54,98","-0,94 %",16,128 626,62 498 409 339,1 523 055,43 853 250 001,1 080 704,6 603
18.01.2021,BRG1,"54,97","54,96","54,94","55,25","54,56","54,96","-0,04 %",30,113 563,54 507 395 628,1 335 991,42 172 419 921,1 033 862,6 666
19.01.2021,BRG1,"55,43","55,95","54,96","56,07","54,74","55,95","+1,80 %",1,107 806,45 161 546 613,1 103 986,44 017 370 382,1 066 014,6 726
20.01.2021,BRG1,"56,27","56,4","55,94","56,65","55,76","56,33","+0,68 %",28,119 097,47 058 194 555,1 138 353,43 930 640 406,1 060 252,6 742
21.01.2021,BRG1,"55,9","55,93","56,34","56,49","55,5","55,91","-0,75 %",28,117 432,46 168 783 079,1 121 567,43 215 532 775,1 049 304,6 687
22.01.2021,BRG1,"55,29","55,61","55,95","56,25","54,5","55,53","-0,68 %",2,151 275,73 624 975 663,1 777 548,41 282 915 874,990 910,6 723
25.01.2021,BRG1,"55,53","55,67","55,49",56,"55,11","55,65","+0,22 %",2,125 374,59 039 032 045,1 404 243,42 297 729 591,1 003 472,6 739
26.01.2021,BRG1,"55,9","55,96","55,54","56,36","55,14","55,93","+0,50 %",1,119 572,54 584 828 110,1 301 555,40 342 822 107,960 852,6 790
27.01.2021,BRG1,"55,87","56,18","55,9","56,49","55,18","56,28","+0,63 %",1,106 244,59 190 080 180,1 399 778,30 423 279 308,715 558,6 787
28.01.2021,BRG1,56,"55,62","56,2","56,59","55,32","55,71","-1,01 %",10,99 531,55 228 759 140,1 296 178,16 627 181 582,392 892,6 778
