,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
0,TQBR,2024-04-01,LKOH,39852,5655560883.5,7574.0,7573.0,7666.0,7628.5,7665.0,741367,,,1.51
1,TQBR,2024-04-02,LKOH,24941,2935739088.0,7679.5,7625.0,7689.0,7652.5,7654.0,383628,,,-0.14
2,TQBR,2024-04-03,LKOH,21721,2429698021.5,7654.0,7641.0,7699.0,7672.5,7686.5,316677,,,0.42
3,TQBR,2024-04-04,LKOH,39684,5719872333.5,7687.5,7678.0,7783.5,7747.5,7727.5,738307,,,0.53
4,TQBR,2024-04-05,LKOH,48842,8146536254.5,7730.5,7654.0,7777.5,7703.0,7662.5,1058107,,,-0.84
5,TQBR,2024-04-08,LKOH,33631,5145050974.0,7700.0,7662.5,7777.0,7730.0,7767.0,665595,,,1.36
6,TQBR,2024-04-09,LKOH,51351,6678737910.0,7770.0,7740.0,7844.0,7805.5,7786.5,855572,,,0.25
7,TQBR,2024-04-10,LKOH,23697,3030625357.0,7802.5,7755.0,7837.0,7810.0,7825.0,388050,,,0.49
8,TQBR,2024-04-11,LKOH,38788,3245978515.5,7835.0,7827.0,7870.0,7848.0,7836.5,413546,,,0.15
9,TQBR,2024-04-12,LKOH,26145,3735924097.0,7840.0,7785.0,7865.0,7821.5,7839.5,477639,,,0.04
10,TQBR,2024-04-15,LKOH,34945,4298701437.5,7853.0,7849.5,7931.0,7894.5,7920.5,544524,,,1.03
11,TQBR,2024-04-16,LKOH,22864,3277092998.5,7929.5,7870.0,7929.5,7897.5,7897.0,414942,,,-0.3
12,TQBR,2024-04-17,LKOH,25627,3491166459.0,7897.0,7855.5,7918.0,7889.0,7886.0,442533,,,-0.14
13,TQBR,2024-04-18,LKOH,30186,4232011660.0,7888.0,7800.0,7897.5,7843.5,7840.0,539551,,,-0.58
14,TQBR,2024-04-19,LKOH,27827,4962729209.0,7860.0,7790.0,7868.5,7823.5,7835.5,634310,,,-0.06
15,TQBR,2024-04-22,LKOH,38118,5243909745.5,7836.0,7803.0,7878.0,7834.5,7827.5,669392,,,-0.1
16,TQBR,2024-04-23,LKOH,30830,4029556333.5,7849.5,7806.0,7886.5,7845.5,7840.0,513602,,,0.16
17,TQBR,2024-04-24,LKOH,26376,2737409933.0,7846.5,7803.5,7854.0,7827.5,7820.5,349688,,,-0.25
18,TQBR,2024-04-25,LKOH,21466,2395854945.0,7820.5,7809.5,7831.5,7817.5,7827.5,306477,,,0.09
19,TQBR,2024-04-26,LKOH,44966,6116032952.5,7828.0,7810.0,7940.0,7872.0,7929.5,776863,,,1.3
20,TQBR,2024-04-27,LKOH,34514,5229831036.0,7931.0,7931.0,8018.5,7982.5,8002.5,655090,,,0.92
21,TQBR,2024-04-29,LKOH,41811,4875540178.0,8018.0,8016.0,8161.5,8109.5,8152.0,601155,,,1.87
22,TQBR,2024-04-30,LKOH,31284,3532834568.5,8152.5,8080.0,8175.0,8112.5,8085.5,435472,,,-0.82
23,TQBR,2024-05-02,LKOH,42979,4568439192.0,8096.5,8037.0,8125.0,8076.5,8104.5,565657,,,0.23
24,TQBR,2024-05-03,LKOH,44704,4603847800.0,8098.5,8010.0,8100.0,8066.5,8075.5,570748,,,-0.36
25,TQBR,2024-05-06,LKOH,129034,20536829449.5,8075.0,7901.0,8089.0,7975.0,8026.5,2575025,,,-0.61
26,TQBR,2024-05-07,LKOH,163695,18768522763.0,7594.0,7574.0,7763.5,7708.0,7722.5,2435049,,,-3.79
27,TQBR,2024-05-08,LKOH,48734,5280587119.0,7754.5,7691.0,7772.0,7712.5,7714.0,684609,,,-0.11
28,TQBR,2024-05-10,LKOH,17434,1685692287.0,7720.0,7710.0,7726.0,7720.5,7713.5,218336,,,-0.01
29,TQBR,2024-05-13,LKOH,37874,3889987061.0,7730.0,7676.0,7732.0,7701.5,7689.0,505076,,,-0.32
