BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2021-01-04,ЛУКОЙЛ,LKOH,25148,4077814489.0,5238.5,5186.5,5274.5,5243.5,5239.0,5212.5,778343,5243.5,5243.5,5243.5,3534439785.5,3534439785.5,3534439785.5,0,3,SUR,0.83
TQBR,2021-01-05,ЛУКОЙЛ,LKOH,33260,6222500542.5,5214.5,5180.0,5359.0,5311.0,5278.0,5358.5,1178943,5265.0,5265.0,5311.0,5159927106.5,5159927106.5,5159927106.5,0,3,SUR,2.8
TQBR,2021-01-06,ЛУКОЙЛ,LKOH,38447,7490176190.5,5375.0,5304.0,5401.0,5395.0,5369.5,5376.5,1394998,5367.5,5367.5,5395.0,6804506193.5,6804506193.5,6804506193.5,0,3,SUR,0.34
TQBR,2021-01-08,ЛУКОЙЛ,LKOH,55384,11402549102.0,5450.0,5425.0,5557.5,5521.0,5509.0,5556.5,2070143,5506.5,5506.5,5521.0,10717623852.0,10717623852.0,10717623852.0,0,3,SUR,3.35
TQBR,2021-01-11,ЛУКОЙЛ,LKOH,49387,11409883557.0,5510.0,5451.0,5639.0,5600.0,5572.0,5599.0,2047794,5571.0,5571.0,5600.0,11003470110.0,11003470110.0,11003470110.0,0,3,SUR,0.76
TQBR,2021-01-12,ЛУКОЙЛ,LKOH,44998,9932069867.5,5616.0,5615.0,5724.5,5705.0,5685.0,5721.0,1747049,5684.0,5684.0,5705.0,9317986952.5,9317986952.5,9317986952.5,0,3,SUR,2.18
TQBR,2021-01-13,ЛУКОЙЛ,LKOH,48343,11786341617.0,5750.0,5706.0,5827.0,5787.0,5761.5,5755.0,2045581,5761.0,5761.0,5787.0,11067061709.5,11067061709.5,11067061709.5,0,3,SUR,0.59
TQBR,2021-01-14,ЛУКОЙЛ,LKOH,56332,12369392481.5,5750.0,5715.0,5957.5,5907.5,5868.0,5937.0,2106542,5868.5,5868.5,5907.5,11572096065.0,11572096065.0,11572096065.0,0,3,SUR,3.16
TQBR,2021-01-15,ЛУКОЙЛ,LKOH,50951,11349931000.5,5882.5,5852.0,5995.0,5900.0,5925.0,5888.5,1915743,5928.0,5928.0,5900.0,10504813974.0,10504813974.0,10504813974.0,0,3,SUR,-0.82
TQBR,2021-01-18,ЛУКОЙЛ,LKOH,34058,7659285796.0,5865.0,5802.5,5902.0,5877.0,5854.0,5873.0,1308036,5855.0,5855.0,5877.0,7512106052.5,7512106052.5,7512106052.5,0,3,SUR,-0.26
TQBR,2021-01-19,ЛУКОЙЛ,LKOH,32747,7353644946.0,5913.0,5854.0,5968.0,5883.0,5913.0,5892.0,1243631,5917.0,5917.0,5883.0,6681709167.0,6681709167.0,6681709167.0,0,3,SUR,0.32
TQBR,2021-01-20,ЛУКОЙЛ,LKOH,26223,5704963137.0,5907.0,5843.0,5962.0,5864.5,5903.0,5864.0,966472,5906.5,5906.5,5864.5,5264714289.0,5264714289.0,5264714289.0,0,3,SUR,-0.48
TQBR,2021-01-21,ЛУКОЙЛ,LKOH,44944,10584074044.0,5884.5,5710.0,5921.5,5767.5,5776.5,5771.0,1832271,5776.5,5776.5,5767.5,10170754958.5,10170754958.5,10170754958.5,0,3,SUR,-1.59
TQBR,2021-01-22,ЛУКОЙЛ,LKOH,41942,9356268615.5,5701.0,5626.0,5787.0,5729.0,5708.0,5740.5,1639101,5707.0,5707.0,5729.0,8924589399.0,8924589399.0,8924589399.0,0,3,SUR,-0.53
TQBR,2021-01-25,ЛУКОЙЛ,LKOH,37928,7557730686.5,5755.0,5675.0,5797.5,5728.5,5721.5,5722.0,1320901,5723.5,5723.5,5728.5,7070807660.5,7070807660.5,7070807660.5,0,3,SUR,-0.32
TQBR,2021-01-26,ЛУКОЙЛ,LKOH,45134,9120974839.5,5681.0,5553.0,5703.5,5590.0,5622.5,5595.5,1622050,5624.0,5624.0,5590.0,8849063189.5,8849063189.5,8849063189.5,0,3,SUR,-2.21
TQBR,2021-01-27,ЛУКОЙЛ,LKOH,45343,9599811633.0,5619.5,5484.0,5631.0,5500.5,5538.5,5499.5,1733280,5540.0,5540.0,5500.5,9057371734.0,9057371734.0,9057371734.0,0,3,SUR,-1.72
TQBR,2021-01-28,ЛУКОЙЛ,LKOH,41764,9340965397.0,5467.0,5442.5,5617.0,5580.0,5540.5,5575.0,1686020,5538.5,5538.5,5580.0,8878779222.5,8878779222.5,8878779222.5,0,3,SUR,1.37
TQBR,2021-01-29,ЛУКОЙЛ,LKOH,53001,11023222997.5,5552.0,5365.5,5561.5,5401.0,5452.0,5377.0,2021903,5456.5,5456.5,5401.0,10382753657.5,10382753657.5,10382753657.5,0,3,SUR,-3.55
TQBR,2021-02-01,ЛУКОЙЛ,LKOH,48737,11308462385.0,5420.0,5296.5,5426.0,5316.0,5350.0,5406.0,2113706,5349.0,5349.0,5316.0,10638200013.5,10638200013.5,10638200013.5,0,3,SUR,0.54
TQBR,2021-02-02,ЛУКОЙЛ,LKOH,56832,13486476730.5,5427.5,5407.5,5577.0,5560.0,5502.5,5516.0,2451039,5501.0,5501.0,5560.0,12566322025.5,12566322025.5,12566322025.5,0,3,SUR,2.03
TQBR,2021-02-03,ЛУКОЙЛ,LKOH,50770,10005040691.5,5554.0,5491.5,5642.0,5526.5,5560.0,5555.0,1799457,5561.0,5561.0,5526.5,9472743535.5,9472743535.5,9472743535.5,0,3,SUR,0.71
TQBR,2021-02-04,ЛУКОЙЛ,LKOH,50910,12822850449.5,5565.0,5529.0,5728.5,5664.5,5645.5,5699.5,2271731,5643.0,5643.0,5664.5,12032242461.0,12032242461.0,12032242461.0,0,3,SUR,2.6
TQBR,2021-02-05,ЛУКОЙЛ,LKOH,33061,6418080468.0,5742.0,5644.0,5770.5,5700.0,5697.5,5715.0,1126362,5698.0,5698.0,5700.0,6074047834.5,6074047834.5,6074047834.5,0,3,SUR,0.27
TQBR,2021-02-08,ЛУКОЙЛ,LKOH,29073,5544754061.5,5750.0,5698.0,5797.5,5747.0,5752.0,5758.0,963993,5752.5,5752.5,5747.0,5096042542.5,5096042542.5,5096042542.5,0,3,SUR,0.75
TQBR,2021-02-09,ЛУКОЙЛ,LKOH,30579,6018300785.5,5780.5,5654.0,5796.0,5688.5,5728.0,5695.0,1051082,5730.0,5730.0,5688.5,5494168670.0,5494168670.0,5494168670.0,0,3,SUR,-1.09
TQBR,2021-02-10,ЛУКОЙЛ,LKOH,34448,7527315013.0,5699.5,5560.0,5712.5,5571.0,5614.0,5594.5,1340820,5615.5,5615.5,5571.0,6859915532.5,6859915532.5,6859915532.5,0,3,SUR,-1.76
TQBR,2021-02-11,ЛУКОЙЛ,LKOH,22351,3968372046.5,5581.0,5546.0,5690.0,5668.5,5621.0,5641.5,705999,5617.5,5617.5,5668.5,3488131581.0,3488131581.0,3488131581.0,0,3,SUR,0.84
TQBR,2021-02-12,ЛУКОЙЛ,LKOH,37980,7107380825.5,5624.5,5501.0,5756.5,5706.0,5616.5,5756.0,1265401,5598.5,5598.5,5706.0,6131675990.0,6131675990.0,6131675990.0,0,3,SUR,2.03
TQBR,2021-02-15,ЛУКОЙЛ,LKOH,35863,6666841299.5,5820.0,5772.0,5910.0,5887.5,5836.0,5909.5,1142351,5831.0,5831.0,5887.5,6082744954.0,6082744954.0,6082744954.0,0,3,SUR,2.67
TQBR,2021-02-16,ЛУКОЙЛ,LKOH,29952,5483598164.5,5918.0,5805.5,5930.0,5865.0,5872.0,5868.5,933839,5874.0,5874.0,5865.0,5076908873.5,5076908873.5,5076908873.5,0,3,SUR,-0.69
