,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
1,TQBR,2021-01-04,ROSN,22434,2803387975.5,435.85,433.0,442.6,437.65,436.0,6405540,442.05,2476802287.0,0.21
3,TQBR,2021-01-05,ROSN,23452,2974641629.5,436.0,433.3,450.7,442.1,449.35,6728320,445.6,2338929568.5,3.06
5,TQBR,2021-01-06,ROSN,27750,3697370867.0,449.35,443.7,454.65,449.25,453.7,8230020,454.15,3359850539.0,0.97
7,TQBR,2021-01-08,ROSN,42210,6045034443.5,465.1,463.8,481.0,473.2,478.2,12774820,474.55,5758260758.0,5.4
9,TQBR,2021-01-11,ROSN,29306,4160569458.5,474.55,464.0,480.1,473.05,473.25,8794770,473.0,4012822647.0,-1.04
11,TQBR,2021-01-12,ROSN,22979,3357990352.0,475.0,466.25,479.2,474.15,474.4,7084430,475.0,3181312454.0,0.24
13,TQBR,2021-01-13,ROSN,47711,7420922154.0,477.0,476.25,493.95,485.15,485.95,15295510,488.05,7050107000.0,2.43
15,TQBR,2021-01-14,ROSN,57572,7664200791.5,485.0,484.05,505.65,497.7,505.0,15398010,504.0,7318807258.5,3.92
17,TQBR,2021-01-15,ROSN,56091,9120573506.0,503.0,498.2,519.65,509.5,512.2,17894440,514.3,8668475799.5,1.43
19,TQBR,2021-01-18,ROSN,38022,5505232267.5,509.95,505.25,519.0,513.3,516.5,10725300,518.8,5291112072.5,0.84
21,TQBR,2021-01-19,ROSN,41143,6435878752.0,518.9,506.65,524.8,513.95,510.7,12521140,510.65,6125346478.5,-1.12
23,TQBR,2021-01-20,ROSN,18927,2490966974.0,510.7,507.55,514.7,510.8,510.65,4876400,508.9,2263476334.5,-0.01
25,TQBR,2021-01-21,ROSN,33069,4638431492.0,509.3,495.65,512.7,501.2,498.0,9254750,499.3,4317951847.0,-2.48
27,TQBR,2021-01-22,ROSN,30828,4273128883.0,495.0,485.0,495.0,490.15,494.25,8716870,491.15,4034694799.5,-0.75
29,TQBR,2021-01-25,ROSN,27480,3731328670.5,494.2,485.4,502.8,495.15,495.6,7535710,495.8,3480372023.5,0.27
31,TQBR,2021-01-26,ROSN,16609,2222031542.5,492.15,488.1,498.25,493.7,493.95,4500790,493.95,2145618657.5,-0.33
33,TQBR,2021-01-27,ROSN,29813,4666574481.5,495.9,480.55,497.9,486.95,481.25,9582470,482.2,4442839917.5,-2.57
35,TQBR,2021-01-28,ROSN,23545,2911524260.5,479.85,475.0,485.65,480.35,483.4,6061580,481.85,2669767143.5,0.45
37,TQBR,2021-01-29,ROSN,22038,2648522580.0,480.45,472.0,482.45,476.7,473.0,5555870,475.2,2256717410.5,-2.15
39,TQBR,2021-02-01,ROSN,20528,3267021096.5,475.1,469.5,478.9,474.1,478.35,6890680,473.6,3088437384.0,1.13
41,TQBR,2021-02-02,ROSN,30037,5042776426.0,481.15,479.0,488.8,484.35,482.0,10412280,485.9,4601282552.0,0.76
43,TQBR,2021-02-03,ROSN,24048,3689730784.5,487.75,482.15,494.2,487.95,489.95,7562080,488.15,3107983921.5,1.65
45,TQBR,2021-02-04,ROSN,25554,3898980062.5,490.35,484.2,497.05,490.9,489.2,7944910,485.75,3637900046.5,-0.15
47,TQBR,2021-02-05,ROSN,25044,3768953251.0,492.45,490.35,496.75,493.45,493.95,7638670,492.85,3624626169.0,0.97
49,TQBR,2021-02-08,ROSN,30637,3876625872.5,496.0,496.0,503.25,499.95,501.75,7754570,497.7,3699483057.0,1.58
51,TQBR,2021-02-09,ROSN,28276,3361445573.5,503.8,492.4,505.0,497.2,494.8,6760660,494.85,3034249568.0,-1.39
53,TQBR,2021-02-10,ROSN,19985,2768109736.5,497.45,489.35,498.25,493.65,491.45,5609350,490.85,2585777624.0,-0.68
55,TQBR,2021-02-11,ROSN,22830,3316045912.0,490.25,488.15,501.7,496.5,496.8,6678120,501.0,3057898537.0,1.09
57,TQBR,2021-02-12,ROSN,41879,5966984032.5,496.95,488.6,509.35,499.3,509.35,11948910,504.15,5277439017.0,2.53
59,TQBR,2021-02-15,ROSN,36263,4540347241.5,513.0,508.2,522.45,514.15,521.45,8829940,518.15,4064610483.5,2.38
61,TQBR,2021-02-16,ROSN,35069,4572038061.0,522.45,520.5,529.4,524.9,525.6,8710180,528.1,4255536844.5,0.8
63,TQBR,2021-02-17,ROSN,40175,5916867410.5,525.0,505.7,528.15,516.75,515.15,11449940,507.2,5303113788.5,-1.99
65,TQBR,2021-02-18,ROSN,31512,4955333290.5,515.0,505.5,517.65,510.8,506.85,9701350,508.0,4588859352.0,-1.61
67,TQBR,2021-02-19,ROSN,26614,3805802323.5,506.0,504.0,515.15,510.1,512.75,7460830,514.1,3584432768.0,1.16
69,TQBR,2021-02-20,ROSN,4994,465864311.0,512.55,509.05,514.0,512.15,513.15,909650,513.25,444996538.0,0.08
71,TQBR,2021-02-22,ROSN,18525,2327976051.0,514.0,509.1,518.9,511.1,516.0,4533130,511.35,2080377192.5,0.56
73,TQBR,2021-02-24,ROSN,25531,3481680115.5,511.7,511.15,518.7,513.2,518.25,6758820,516.8,3227870954.5,0.44
75,TQBR,2021-02-25,ROSN,47149,7069456803.0,519.45,517.95,536.35,528.2,529.35,13384710,534.8,6478454729.5,2.14
77,TQBR,2021-02-26,ROSN,30895,5308920157.0,525.65,520.45,533.2,526.2,523.35,10091350,525.9,4947524102.0,-1.13
79,TQBR,2021-03-01,ROSN,20078,2561836671.5,527.55,521.45,530.0,525.35,524.1,4875450,524.05,2261439956.5,0.14
81,TQBR,2021-03-02,ROSN,19775,2526862200.0,519.5,518.85,529.85,525.8,526.0,4806100,528.85,2335728122.5,0.36
83,TQBR,2021-03-03,ROSN,21637,3178084220.5,528.85,527.6,536.45,533.1,533.8,5961110,535.15,2890538942.5,1.48
85,TQBR,2021-03-04,ROSN,42904,6729134336.0,535.1,533.2,549.7,539.55,540.1,12458160,539.7,5223622807.5,1.18
87,TQBR,2021-03-05,ROSN,47816,7534079770.5,543.0,541.55,561.95,549.4,561.0,13678500,556.5,6939597102.5,3.87
89,TQBR,2021-03-09,ROSN,49805,8214838175.0,559.0,556.0,581.45,572.25,570.6,14355410,572.0,7951604773.5,1.71
91,TQBR,2021-03-10,ROSN,32260,5410692993.5,568.75,557.0,573.5,564.75,561.15,9582210,560.5,4947583761.5,-1.66
93,TQBR,2021-03-11,ROSN,26026,5428081522.0,563.05,563.05,572.0,567.05,572.0,9572920,568.0,5113923890.0,1.93
95,TQBR,2021-03-12,ROSN,19892,3403696454.5,572.75,566.4,574.7,570.7,572.25,5964020,568.6,3183442197.5,0.04
97,TQBR,2021-03-15,ROSN,30460,5726500126.5,573.15,572.0,580.75,576.35,576.4,9937060,577.25,5397496542.0,0.73
99,TQBR,2021-03-16,ROSN,50593,10066329397.5,574.65,559.3,577.95,568.65,571.2,17701530,572.0,9785767385.0,-0.9
101,TQBR,2021-03-17,ROSN,42899,8547272975.0,570.0,551.25,574.1,560.05,555.85,15266980,554.0,7968969668.0,-2.69
103,TQBR,2021-03-18,ROSN,39386,6847528876.0,556.0,541.0,559.5,553.1,544.05,12381510,559.45,5411682276.5,-2.12
106,TQBR,2021-03-19,ROSN,28369,5152311122.5,543.0,541.6,560.95,552.05,560.3,9333040,556.35,4690098760.5,2.99
108,TQBR,2021-03-22,ROSN,24237,4214818692.0,558.4,555.55,566.9,561.65,562.65,7504320,562.95,3867293438.0,0.42
110,TQBR,2021-03-23,ROSN,33619,4691572645.0,560.2,556.55,573.45,564.55,565.1,8310320,572.0,4089255976.0,0.44
112,TQBR,2021-03-24,ROSN,26365,4456473775.0,566.6,564.25,577.0,570.25,568.05,7812840,570.55,3528048495.0,0.52
114,TQBR,2021-03-25,ROSN,20589,3906005250.5,568.65,566.45,574.7,571.35,574.65,6836330,570.2,3549375043.5,1.16
116,TQBR,2021-03-26,ROSN,29416,5946818513.5,576.0,575.85,585.15,580.65,582.2,10241580,579.35,5536188905.0,1.31
118,TQBR,2021-03-29,ROSN,29753,4804081453.5,579.95,572.0,584.25,577.9,575.3,8312720,576.2,4504340946.5,-1.19
120,TQBR,2021-03-30,ROSN,20949,3519713632.5,576.5,565.3,579.2,572.0,570.25,6153150,570.95,3421746194.0,-0.88
122,TQBR,2021-03-31,ROSN,24555,5187964040.5,571.15,567.1,574.95,570.75,572.6,9090060,570.9,5034352949.5,0.41
124,TQBR,2021-04-01,ROSN,40840,6607834435.0,574.1,561.4,576.75,569.15,568.9,11609740,565.05,6351458777.0,-0.65
126,TQBR,2021-04-02,ROSN,7027,584622705.0,568.9,565.6,569.9,567.2,566.65,1030470,567.0,537847250.5,-0.4
128,TQBR,2021-04-05,ROSN,14524,1763839971.5,567.5,557.25,567.75,561.1,560.15,3143400,560.0,1630243520.0,-1.15
130,TQBR,2021-04-06,ROSN,26125,3288498789.5,562.25,545.45,563.15,551.5,547.55,5962740,547.5,3179918821.5,-2.25
132,TQBR,2021-04-07,ROSN,24128,3389993398.5,547.5,543.25,555.55,550.6,551.5,6156820,550.0,3307182336.5,0.72
134,TQBR,2021-04-08,ROSN,17306,2547570147.5,549.9,545.15,554.8,548.9,549.3,4641120,547.0,2467973874.0,-0.4
136,TQBR,2021-04-09,ROSN,23667,3393186008.0,547.55,536.05,548.7,540.3,538.0,6280370,536.05,3224860914.5,-2.06
138,TQBR,2021-04-12,ROSN,26629,3304951565.0,535.0,532.5,541.35,537.55,540.15,6148360,539.35,3209855026.0,0.4
