,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
0,TQBR,2024-04-01,ROSN,92818,4675167978.4,568.0,566.8,573.55,570.6,568.85,8194319,,,0.55
1,TQBR,2024-04-02,ROSN,51281,2758385527.6,570.0,567.5,574.5,570.45,572.9,4834554,,,0.71
2,TQBR,2024-04-03,ROSN,59127,2783523091.55,573.1,572.0,579.0,576.3,576.9,4829568,,,0.7
3,TQBR,2024-04-04,ROSN,49575,2269373130.15,577.75,575.65,580.0,578.3,578.05,3924251,,,0.2
4,TQBR,2024-04-05,ROSN,47074,1904563196.05,578.85,574.0,579.65,577.15,576.1,3300134,,,-0.34
5,TQBR,2024-04-08,ROSN,56726,1899524002.8,576.3,571.55,579.75,575.7,574.5,3298221,,,-0.28
6,TQBR,2024-04-09,ROSN,65249,2662585757.55,574.5,565.75,576.2,570.9,568.4,4663495,,,-1.06
7,TQBR,2024-04-10,ROSN,41832,1420310687.9,568.5,565.6,574.5,571.05,573.2,2487296,,,0.84
8,TQBR,2024-04-11,ROSN,55332,2174077340.4,573.2,573.2,579.0,576.3,575.25,3772702,,,0.36
9,TQBR,2024-04-12,ROSN,42834,1820663426.0,576.0,575.9,579.5,577.65,576.15,3152068,,,0.16
10,TQBR,2024-04-15,ROSN,89512,4140575238.8,578.95,578.1,589.85,584.9,589.75,7079255,,,2.36
11,TQBR,2024-04-16,ROSN,57087,3118455565.7,590.0,585.7,592.5,589.35,589.1,5290388,,,-0.11
12,TQBR,2024-04-17,ROSN,54186,2235955826.3,589.15,581.3,590.75,586.15,584.35,3814643,,,-0.81
13,TQBR,2024-04-18,ROSN,45807,2209047199.15,583.85,576.55,585.85,579.95,579.15,3808318,,,-0.89
14,TQBR,2024-04-19,ROSN,52632,2048684812.9,582.0,578.05,588.4,584.05,585.35,3507875,,,1.07
15,TQBR,2024-04-22,ROSN,65095,1862958758.0,586.7,581.0,589.4,583.75,583.15,3191089,,,-0.38
16,TQBR,2024-04-23,ROSN,53859,2162791865.5,583.85,580.25,589.0,584.8,580.85,3699539,,,-0.39
17,TQBR,2024-04-24,ROSN,68373,1713465735.1,582.35,572.0,583.4,577.4,576.3,2968087,,,-0.78
18,TQBR,2024-04-25,ROSN,39210,1313338242.25,577.0,573.0,581.25,578.75,579.8,2269626,,,0.61
19,TQBR,2024-04-26,ROSN,42750,1276997728.35,579.95,578.6,584.9,581.85,581.3,2194810,,,0.26
20,TQBR,2024-04-27,ROSN,26483,805558489.1,581.0,581.0,584.5,582.8,581.2,1382302,,,-0.02
21,TQBR,2024-04-29,ROSN,20550,514187036.9,581.8,581.35,583.95,582.35,583.15,882950,,,0.34
22,TQBR,2024-04-30,ROSN,15348,368455947.55,583.15,581.3,583.65,582.35,582.0,632716,,,-0.2
23,TQBR,2024-05-02,ROSN,37709,1263532397.2,581.4,578.0,587.0,582.2,582.3,2169820,,,0.05
24,TQBR,2024-05-03,ROSN,48253,1345463872.55,582.75,582.0,586.4,584.3,582.3,2302837,,,0.0
25,TQBR,2024-05-06,ROSN,45455,1421996245.8,582.0,578.65,586.15,582.1,579.05,2443510,,,-0.56
26,TQBR,2024-05-07,ROSN,37216,981096267.05,579.15,579.15,584.35,581.05,579.95,1688537,,,0.16
27,TQBR,2024-05-08,ROSN,29277,749419945.9,580.3,578.2,582.0,579.95,578.5,1292162,,,-0.25
28,TQBR,2024-05-10,ROSN,43308,672676095.45,579.0,578.55,582.5,580.3,579.4,1159220,,,0.16
29,TQBR,2024-05-13,ROSN,77020,2790731622.6,580.25,579.0,590.0,586.15,589.45,4761120,,,1.73
