BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2021-01-04,Роснефть,ROSN,6,7882.8,435.75,434.4,440.0,,437.65,440.0,18,,,,0.0,0.0,0.0,0,3,SUR,0.57
TQBR,2021-01-04,Роснефть,ROSN,22434,2803387975.5,435.85,433.0,442.6,442.05,437.65,436.0,6405540,437.65,437.65,442.05,2476802287.0,2476802287.0,2476802287.0,0,3,SUR,0.21
SMAL,2021-01-05,Роснефть,ROSN,5,5299.75,439.0,437.85,452.5,,442.1,452.5,12,,,,0.0,0.0,0.0,0,3,SUR,2.84
TQBR,2021-01-05,Роснефть,ROSN,23452,2974641629.5,436.0,433.3,450.7,445.6,442.1,449.35,6728320,440.55,440.55,445.6,2338929568.5,2338929568.5,2338929568.5,0,3,SUR,3.06
SMAL,2021-01-06,Роснефть,ROSN,8,7156.25,446.0,442.25,452.8,,449.25,452.8,16,,,,0.0,0.0,0.0,0,3,SUR,0.07
TQBR,2021-01-06,Роснефть,ROSN,27750,3697370867.0,449.35,443.7,454.65,454.15,449.25,453.7,8230020,448.9,448.9,454.15,3359850539.0,3359850539.0,3359850539.0,0,3,SUR,0.97
SMAL,2021-01-08,Роснефть,ROSN,18,32159.85,468.1,468.05,479.9,,473.2,477.2,68,,,,0.0,0.0,0.0,0,3,SUR,5.39
TQBR,2021-01-08,Роснефть,ROSN,42210,6045034443.5,465.1,463.8,481.0,474.55,473.2,478.2,12774820,473.05,473.05,474.55,5758260758.0,5758260758.0,5758260758.0,0,3,SUR,5.4
SMAL,2021-01-11,Роснефть,ROSN,14,12662.45,473.8,462.4,483.3,,473.05,483.3,27,,,,0.0,0.0,0.0,0,3,SUR,1.28
TQBR,2021-01-11,Роснефть,ROSN,29306,4160569458.5,474.55,464.0,480.1,473.0,473.05,473.25,8794770,473.05,473.05,473.0,4012822647.0,4012822647.0,4012822647.0,0,3,SUR,-1.04
SMAL,2021-01-12,Роснефть,ROSN,11,13274.4,478.0,471.05,478.65,,474.15,471.05,28,,,,0.0,0.0,0.0,0,3,SUR,-2.53
TQBR,2021-01-12,Роснефть,ROSN,22979,3357990352.0,475.0,466.25,479.2,475.0,474.15,474.4,7084430,474.05,474.05,475.0,3181312454.0,3181312454.0,3181312454.0,0,3,SUR,0.24
SMAL,2021-01-13,Роснефть,ROSN,19,34452.65,474.3,474.3,491.15,,485.15,486.85,71,,,,0.0,0.0,0.0,0,3,SUR,3.35
TQBR,2021-01-13,Роснефть,ROSN,47711,7420922154.0,477.0,476.25,493.95,488.05,485.15,485.95,15295510,485.1,485.1,488.05,7050107000.0,7050107000.0,7050107000.0,0,3,SUR,2.43
SMAL,2021-01-14,Роснефть,ROSN,24,47661.6,485.0,485.0,504.7,,497.7,504.7,96,,,,0.0,0.0,0.0,0,3,SUR,3.67
TQBR,2021-01-14,Роснефть,ROSN,57572,7664200791.5,485.0,484.05,505.65,504.0,497.7,505.0,15398010,497.4,497.4,504.0,7318807258.5,7318807258.5,7318807258.5,0,3,SUR,3.92
SMAL,2021-01-15,Роснефть,ROSN,36,50518.5,500.0,498.3,516.0,,509.5,510.5,100,,,,0.0,0.0,0.0,0,3,SUR,1.15
TQBR,2021-01-15,Роснефть,ROSN,56091,9120573506.0,503.0,498.2,519.65,514.3,509.5,512.2,17894440,509.55,509.55,514.3,8668475799.5,8668475799.5,8668475799.5,0,3,SUR,1.43
SMAL,2021-01-18,Роснефть,ROSN,34,50567.05,499.1,499.1,519.0,,513.3,513.75,99,,,,0.0,0.0,0.0,0,3,SUR,0.64
TQBR,2021-01-18,Роснефть,ROSN,38022,5505232267.5,509.95,505.25,519.0,518.8,513.3,516.5,10725300,513.15,513.15,518.8,5291112072.5,5291112072.5,5291112072.5,0,3,SUR,0.84
SMAL,2021-01-19,Роснефть,ROSN,13,14747.4,503.8,503.8,515.1,,513.95,508.5,29,,,,0.0,0.0,0.0,0,3,SUR,-1.02
TQBR,2021-01-19,Роснефть,ROSN,41143,6435878752.0,518.9,506.65,524.8,510.65,513.95,510.7,12521140,514.25,514.25,510.65,6125346478.5,6125346478.5,6125346478.5,0,3,SUR,-1.12
SMAL,2021-01-20,Роснефть,ROSN,32,38056.35,507.8,503.85,512.0,,510.8,507.05,75,,,,0.0,0.0,0.0,0,3,SUR,-0.29
TQBR,2021-01-20,Роснефть,ROSN,18927,2490966974.0,510.7,507.55,514.7,508.9,510.8,510.65,4876400,511.0,511.0,508.9,2263476334.5,2263476334.5,2263476334.5,0,3,SUR,-0.01
SMAL,2021-01-21,Роснефть,ROSN,13,12477.6,508.65,496.2,508.65,,501.2,496.6,25,,,,0.0,0.0,0.0,0,3,SUR,-2.06
TQBR,2021-01-21,Роснефть,ROSN,33069,4638431492.0,509.3,495.65,512.7,499.3,501.2,498.0,9254750,501.5,501.5,499.3,4317951847.0,4317951847.0,4317951847.0,0,3,SUR,-2.48
SMAL,2021-01-22,Роснефть,ROSN,9,20576.3,496.8,480.0,496.8,,490.15,493.2,42,,,,0.0,0.0,0.0,0,3,SUR,-0.68
TQBR,2021-01-22,Роснефть,ROSN,30828,4273128883.0,495.0,485.0,495.0,491.15,490.15,494.25,8716870,490.05,490.05,491.15,4034694799.5,4034694799.5,4034694799.5,0,3,SUR,-0.75
SMAL,2021-01-25,Роснефть,ROSN,14,24695.6,500.0,486.1,500.0,,495.15,489.7,50,,,,0.0,0.0,0.0,0,3,SUR,-0.71
TQBR,2021-01-25,Роснефть,ROSN,27480,3731328670.5,494.2,485.4,502.8,495.8,495.15,495.6,7535710,495.3,495.3,495.8,3480372023.5,3480372023.5,3480372023.5,0,3,SUR,0.27
SMAL,2021-01-26,Роснефть,ROSN,10,17206.15,466.3,466.3,496.65,,493.7,496.65,35,,,,0.0,0.0,0.0,0,3,SUR,1.42
TQBR,2021-01-26,Роснефть,ROSN,16609,2222031542.5,492.15,488.1,498.25,493.95,493.7,493.95,4500790,493.7,493.7,493.95,2145618657.5,2145618657.5,2145618657.5,0,3,SUR,-0.33
SMAL,2021-01-27,Роснефть,ROSN,20,30900.15,493.9,483.05,500.2,,486.95,483.05,63,,,,0.0,0.0,0.0,0,3,SUR,-2.74
TQBR,2021-01-27,Роснефть,ROSN,29813,4666574481.5,495.9,480.55,497.9,482.2,486.95,481.25,9582470,487.2,487.2,482.2,4442839917.5,4442839917.5,4442839917.5,0,3,SUR,-2.57
SMAL,2021-01-28,Роснефть,ROSN,8,10105.0,476.2,476.2,484.0,,480.35,483.55,21,,,,0.0,0.0,0.0,0,3,SUR,0.1
TQBR,2021-01-28,Роснефть,ROSN,23545,2911524260.5,479.85,475.0,485.65,481.85,480.35,483.4,6061580,480.1,480.1,481.85,2669767143.5,2669767143.5,2669767143.5,0,3,SUR,0.45
SMAL,2021-01-29,Роснефть,ROSN,10,7170.6,479.55,474.9,480.2,,476.7,479.3,15,,,,0.0,0.0,0.0,0,3,SUR,-0.88
TQBR,2021-01-29,Роснефть,ROSN,22038,2648522580.0,480.45,472.0,482.45,475.2,476.7,473.0,5555870,477.35,477.35,475.2,2256717410.5,2256717410.5,2256717410.5,0,3,SUR,-2.15
SMAL,2021-02-01,Роснефть,ROSN,16,23146.8,474.4,467.55,477.1,,474.1,476.0,49,,,,0.0,0.0,0.0,0,3,SUR,-0.69
TQBR,2021-02-01,Роснефть,ROSN,20528,3267021096.5,475.1,469.5,478.9,473.6,474.1,478.35,6890680,474.0,474.0,473.6,3088437384.0,3088437384.0,3088437384.0,0,3,SUR,1.13
SMAL,2021-02-02,Роснефть,ROSN,13,20637.8,479.4,466.7,487.6,,484.35,482.4,43,,,,0.0,0.0,0.0,0,3,SUR,1.34
TQBR,2021-02-02,Роснефть,ROSN,30037,5042776426.0,481.15,479.0,488.8,485.9,484.35,482.0,10412280,484.3,484.3,485.9,4601282552.0,4601282552.0,4601282552.0,0,3,SUR,0.76
SMAL,2021-02-03,Роснефть,ROSN,9,10666.55,482.85,481.15,488.7,,487.95,486.0,22,,,,0.0,0.0,0.0,0,3,SUR,0.75
TQBR,2021-02-03,Роснефть,ROSN,24048,3689730784.5,487.75,482.15,494.2,488.15,487.95,489.95,7562080,487.4,487.4,488.15,3107983921.5,3107983921.5,3107983921.5,0,3,SUR,1.65
SMAL,2021-02-04,Роснефть,ROSN,11,13676.55,485.9,485.45,494.0,,490.9,485.45,28,,,,0.0,0.0,0.0,0,3,SUR,-0.11
TQBR,2021-02-04,Роснефть,ROSN,25554,3898980062.5,490.35,484.2,497.05,485.75,490.9,489.2,7944910,491.0,491.0,485.75,3637900046.5,3637900046.5,3637900046.5,0,3,SUR,-0.15
SMAL,2021-02-05,Роснефть,ROSN,14,23551.3,486.15,486.1,496.55,,493.45,488.65,48,,,,0.0,0.0,0.0,0,3,SUR,0.66
TQBR,2021-02-05,Роснефть,ROSN,25044,3768953251.0,492.45,490.35,496.75,492.85,493.45,493.95,7638670,493.4,493.4,492.85,3624626169.0,3624626169.0,3624626169.0,0,3,SUR,0.97
SMAL,2021-02-08,Роснефть,ROSN,9,18428.35,500.0,495.95,503.05,,499.95,496.3,37,,,,0.0,0.0,0.0,0,3,SUR,1.57
TQBR,2021-02-08,Роснефть,ROSN,30637,3876625872.5,496.0,496.0,503.25,497.7,499.95,501.75,7754570,499.9,499.9,497.7,3699483057.0,3699483057.0,3699483057.0,0,3,SUR,1.58
SMAL,2021-02-09,Роснефть,ROSN,6,16321.35,496.9,491.9,499.85,,497.2,492.0,33,,,,0.0,0.0,0.0,0,3,SUR,-0.87
TQBR,2021-02-09,Роснефть,ROSN,28276,3361445573.5,503.8,492.4,505.0,494.85,497.2,494.8,6760660,497.55,497.55,494.85,3034249568.0,3034249568.0,3034249568.0,0,3,SUR,-1.39
SMAL,2021-02-10,Роснефть,ROSN,4,7858.2,494.0,489.05,494.0,,493.65,489.05,16,,,,0.0,0.0,0.0,0,3,SUR,-0.6
TQBR,2021-02-10,Роснефть,ROSN,19985,2768109736.5,497.45,489.35,498.25,490.85,493.65,491.45,5609350,493.55,493.55,490.85,2585777624.0,2585777624.0,2585777624.0,0,3,SUR,-0.68
SMAL,2021-02-11,Роснефть,ROSN,9,16723.6,487.85,487.85,497.7,,496.5,491.9,34,,,,0.0,0.0,0.0,0,3,SUR,0.58
TQBR,2021-02-11,Роснефть,ROSN,22830,3316045912.0,490.25,488.15,501.7,501.0,496.5,496.8,6678120,496.45,496.45,501.0,3057898537.0,3057898537.0,3057898537.0,0,3,SUR,1.09
SMAL,2021-02-12,Роснефть,ROSN,21,36081.85,500.0,488.4,507.45,,499.3,507.45,72,,,,0.0,0.0,0.0,0,3,SUR,3.16
TQBR,2021-02-12,Роснефть,ROSN,41879,5966984032.5,496.95,488.6,509.35,504.15,499.3,509.35,11948910,498.55,498.55,504.15,5277439017.0,5277439017.0,5277439017.0,0,3,SUR,2.53
SMAL,2021-02-15,Роснефть,ROSN,28,41744.75,505.9,505.9,518.1,,514.15,517.9,82,,,,0.0,0.0,0.0,0,3,SUR,2.06
TQBR,2021-02-15,Роснефть,ROSN,36263,4540347241.5,513.0,508.2,522.45,518.15,514.15,521.45,8829940,513.5,513.5,518.15,4064610483.5,4064610483.5,4064610483.5,0,3,SUR,2.38
SMAL,2021-02-16,Роснефть,ROSN,25,49575.4,515.25,515.25,526.8,,524.9,522.25,95,,,,0.0,0.0,0.0,0,3,SUR,0.84
TQBR,2021-02-16,Роснефть,ROSN,35069,4572038061.0,522.45,520.5,529.4,528.1,524.9,525.6,8710180,524.85,524.85,528.1,4255536844.5,4255536844.5,4255536844.5,0,3,SUR,0.8
SMAL,2021-02-17,Роснефть,ROSN,19,37790.65,523.25,507.6,523.25,,516.75,507.6,73,,,,0.0,0.0,0.0,0,3,SUR,-2.81
TQBR,2021-02-17,Роснефть,ROSN,40175,5916867410.5,525.0,505.7,528.15,507.2,516.75,515.15,11449940,517.45,517.45,507.2,5303113788.5,5303113788.5,5303113788.5,0,3,SUR,-1.99
SMAL,2021-02-18,Роснефть,ROSN,9,9715.15,505.9,505.9,515.0,,510.8,507.15,19,,,,0.0,0.0,0.0,0,3,SUR,-0.09
TQBR,2021-02-18,Роснефть,ROSN,31512,4955333290.5,515.0,505.5,517.65,508.0,510.8,506.85,9701350,511.05,511.05,508.0,4588859352.0,4588859352.0,4588859352.0,0,3,SUR,-1.61
