,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
1,TQBR,2021-01-04,SBER,74192,13434542974.0,274.67,270.61,276.6,274.61,272.0,48922920,276.0,10995442585.3,0.13
3,TQBR,2021-01-05,SBER,74787,12449940093.5,272.69,270.28,275.7,273.12,275.2,45583910,273.82,11335745413.8,1.18
5,TQBR,2021-01-06,SBER,64392,11198786354.7,275.94,271.62,275.94,273.49,272.93,40948520,274.68,9932999712.1,-0.82
7,TQBR,2021-01-08,SBER,126247,24965598229.2,275.11,275.11,283.99,280.74,283.64,88928790,282.08,23414208892.6,3.92
9,TQBR,2021-01-11,SBER,167977,32387587949.7,282.86,279.48,292.95,288.3,289.49,112349520,288.85,31069344555.6,2.06
11,TQBR,2021-01-12,SBER,131929,23033207791.0,290.88,286.7,296.07,291.7,289.99,78962360,288.45,21641136594.9,0.17
13,TQBR,2021-01-13,SBER,113139,19329406068.2,291.01,283.1,292.46,286.11,283.78,67559080,283.66,18050976362.3,-2.14
15,TQBR,2021-01-14,SBER,121415,21166553940.6,284.0,279.06,286.9,283.47,284.79,74673700,284.28,20120119101.4,0.36
17,TQBR,2021-01-15,SBER,132679,20704258669.7,282.55,276.0,286.16,280.64,276.9,73774870,276.82,19308633224.6,-2.77
19,TQBR,2021-01-18,SBER,118097,20519303291.8,275.72,272.95,281.3,277.53,279.79,73935650,280.95,19477868874.2,1.04
21,TQBR,2021-01-19,SBER,105939,15657703355.8,280.98,276.42,282.8,279.6,278.19,55998820,277.09,14438166173.7,-0.57
23,TQBR,2021-01-20,SBER,93273,13410105295.4,278.62,276.77,282.49,279.72,279.8,47940980,278.8,12228008479.3,0.58
25,TQBR,2021-01-21,SBER,128577,23104211857.2,280.75,272.84,281.54,275.72,274.4,83795610,275.75,22119628866.5,-1.93
27,TQBR,2021-01-22,SBER,136542,23425721074.9,273.0,266.78,273.3,269.24,268.25,87007610,267.5,22513356168.8,-2.24
29,TQBR,2021-01-25,SBER,174198,30573885594.7,271.0,261.65,273.63,267.41,265.3,114330950,265.19,28354086308.9,-1.1
31,TQBR,2021-01-26,SBER,128619,20081806624.3,262.7,262.61,269.57,266.95,269.34,75228120,268.27,18792462917.8,1.52
33,TQBR,2021-01-27,SBER,168437,26983357696.7,270.07,265.02,273.8,269.59,265.5,100093260,266.84,25388898882.9,-1.43
35,TQBR,2021-01-28,SBER,116323,21478838736.4,263.5,261.17,267.17,264.34,265.96,81253290,264.68,20124659173.1,0.17
37,TQBR,2021-01-29,SBER,182334,31282157083.1,263.77,257.36,264.75,260.42,258.11,120123710,258.42,28847397276.9,-2.95
39,TQBR,2021-02-01,SBER,109069,16517036893.1,260.0,258.73,264.06,261.63,263.8,63130400,262.24,15143708722.1,2.2
41,TQBR,2021-02-02,SBER,112219,21130912921.8,265.0,263.05,268.39,265.68,263.15,79534190,267.0,17061046375.8,-0.25
43,TQBR,2021-02-03,SBER,115398,20508495277.8,264.32,261.05,268.14,264.12,263.53,77648760,261.55,18883177716.6,0.14
45,TQBR,2021-02-04,SBER,110857,21060053221.8,263.21,262.34,270.6,266.79,270.11,78929290,268.34,19352059113.2,2.5
47,TQBR,2021-02-05,SBER,104977,19443149796.1,271.99,268.87,272.57,270.77,271.7,71806820,271.55,18469643475.9,0.59
49,TQBR,2021-02-08,SBER,88113,14217396460.7,273.01,272.32,275.58,274.05,275.2,51878390,274.77,12755015715.7,1.29
51,TQBR,2021-02-09,SBER,136771,24881954493.2,275.99,267.19,276.29,270.69,268.98,91921510,267.91,23441972620.1,-2.26
53,TQBR,2021-02-10,SBER,111046,16918200383.1,269.28,265.2,270.99,268.17,265.9,63087490,265.53,15592489984.8,-1.15
55,TQBR,2021-02-11,SBER,75386,10250368666.9,265.5,263.75,266.9,265.07,264.7,38669800,265.1,9312955957.3,-0.45
57,TQBR,2021-02-12,SBER,126635,21386688670.7,264.0,258.55,266.44,261.9,266.0,81658530,264.0,18042296760.0,0.49
59,TQBR,2021-02-15,SBER,96632,15321628602.6,268.49,267.07,271.87,269.06,271.81,56945310,270.18,13723221186.7,2.18
61,TQBR,2021-02-16,SBER,99472,17059296191.7,272.3,268.27,272.8,270.35,270.9,63103170,271.25,16013503953.4,-0.33
63,TQBR,2021-02-17,SBER,125067,21493440752.3,270.99,267.56,275.07,271.68,270.9,79103850,268.94,19425230397.3,0.0
65,TQBR,2021-02-18,SBER,91511,15803278522.1,270.35,266.21,272.46,269.08,266.99,58729690,266.51,14614209569.4,-1.44
67,TQBR,2021-02-19,SBER,87787,15897066063.1,266.12,264.19,272.81,268.22,271.34,59268550,271.35,14588358121.8,1.63
