,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
1,TQBR,2024-04-01,SBER,80263,8612449823.1,300.0,299.5,301.65,300.42,300.43,28662870,,,0.57
3,TQBR,2024-04-02,SBER,64413,5995530685.0,300.43,298.95,300.99,300.07,300.38,19980460,,,-0.02
5,TQBR,2024-04-03,SBER,125661,17732924741.7,300.4,300.17,307.13,304.56,306.72,58228980,,,2.11
7,TQBR,2024-04-04,SBER,73338,8884912105.9,306.8,304.36,307.77,305.6,304.61,29074900,,,-0.69
9,TQBR,2024-04-05,SBER,38305,5915523146.6,304.62,303.7,306.5,305.62,306.1,19355990,,,0.49
11,TQBR,2024-04-08,SBER,69309,7656859212.5,306.5,306.22,308.6,307.52,307.75,24899610,,,0.54
13,TQBR,2024-04-09,SBER,78703,9857166056.7,308.1,305.51,309.35,307.63,306.76,32044440,,,-0.32
15,TQBR,2024-04-10,SBER,50352,6331291824.7,306.76,304.62,307.14,306.1,306.48,20682180,,,-0.09
17,TQBR,2024-04-11,SBER,51351,6298575558.1,306.7,305.7,308.0,306.83,306.95,20527000,,,0.15
19,TQBR,2024-04-12,SBER,54625,4920099637.9,307.4,306.3,307.87,307.08,307.1,16025300,,,0.05
21,TQBR,2024-04-15,SBER,49642,6381167168.7,307.47,306.64,308.39,307.56,307.99,20746510,,,0.29
23,TQBR,2024-04-16,SBER,52753,5273954891.3,308.0,307.0,308.65,307.77,308.29,17135850,,,0.1
25,TQBR,2024-04-17,SBER,59080,8679485717.7,308.65,305.91,309.74,307.47,306.59,28227330,,,-0.55
27,TQBR,2024-04-18,SBER,37902,6264315854.3,306.01,305.05,308.29,307.27,307.99,20387560,,,0.46
29,TQBR,2024-04-19,SBER,38080,4482220740.8,308.0,306.8,308.38,307.43,307.38,14578320,,,-0.2
31,TQBR,2024-04-22,SBER,138656,21503352871.0,308.0,307.38,315.0,311.56,314.99,69006740,,,2.48
33,TQBR,2024-04-23,SBER,214274,28881328913.5,315.39,306.26,315.79,311.03,307.39,92863630,,,-2.41
35,TQBR,2024-04-24,SBER,70305,8189808740.4,307.5,306.65,309.79,308.38,307.94,26557490,,,0.18
37,TQBR,2024-04-25,SBER,45014,4916605561.8,307.95,307.45,309.07,308.32,308.41,15946760,,,0.15
39,TQBR,2024-04-26,SBER,58444,6538760959.0,308.5,308.0,309.9,309.21,309.0,21146360,,,0.19
41,TQBR,2024-04-27,SBER,40803,4055173632.8,309.25,308.7,309.99,309.29,308.98,13111060,,,-0.01
43,TQBR,2024-04-29,SBER,32822,3092125081.6,309.14,307.65,309.6,308.43,308.97,10025690,,,0.0
45,TQBR,2024-04-30,SBER,21373,1844647205.8,309.19,308.03,309.49,308.43,308.24,5980690,,,-0.24
47,TQBR,2024-05-02,SBER,54004,5006399567.2,308.7,306.8,309.19,307.86,307.37,16262520,,,-0.28
49,TQBR,2024-05-03,SBER,95641,9339424027.0,307.11,304.34,308.29,306.54,307.53,30466990,,,0.05
51,TQBR,2024-05-06,SBER,47914,5890819811.7,308.1,305.55,308.1,306.76,306.01,19203550,,,-0.49
53,TQBR,2024-05-07,SBER,43471,5112444401.6,306.23,306.21,308.87,307.67,308.22,16616810,,,0.72
55,TQBR,2024-05-08,SBER,93120,10529373347.6,308.41,308.08,311.83,310.76,311.21,33881400,,,0.97
57,TQBR,2024-05-10,SBER,40164,5230529723.5,311.5,311.31,313.5,312.91,313.49,16715650,,,0.73
59,TQBR,2024-05-13,SBER,65120,6839146524.5,314.1,314.04,315.7,314.9,314.85,21712460,,,0.43
