BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2021-01-04,Сбербанк,SBER,17,15380.91,274.78,271.18,279.15,,274.61,272.78,56,,,,0.0,0.0,0.0,0,3,SUR,0.64
TQBR,2021-01-04,Сбербанк,SBER,74192,13434542974.0,274.67,270.61,276.6,276.0,274.61,272.0,48922920,275.06,275.06,276.0,10995442585.3,10995442585.3,10995442585.3,0,3,SUR,0.13
SMAL,2021-01-05,Сбербанк,SBER,6,2192.67,273.3,273.0,277.6,,273.12,277.6,8,,,,0.0,0.0,0.0,0,3,SUR,1.77
TQBR,2021-01-05,Сбербанк,SBER,74787,12449940093.5,272.69,270.28,275.7,273.82,273.12,275.2,45583910,272.97,272.97,273.82,11335745413.8,11335745413.8,11335745413.8,0,3,SUR,1.18
SMAL,2021-01-06,Сбербанк,SBER,8,6356.53,277.36,273.0,277.36,,273.49,274.0,23,,,,0.0,0.0,0.0,0,3,SUR,-1.3
TQBR,2021-01-06,Сбербанк,SBER,64392,11198786354.7,275.94,271.62,275.94,274.68,273.49,272.93,40948520,273.45,273.45,274.68,9932999712.1,9932999712.1,9932999712.1,0,3,SUR,-0.82
SMAL,2021-01-08,Сбербанк,SBER,25,13195.26,274.31,274.31,283.77,,280.74,283.26,47,,,,0.0,0.0,0.0,0,3,SUR,3.38
TQBR,2021-01-08,Сбербанк,SBER,126247,24965598229.2,275.11,275.11,283.99,282.08,280.74,283.64,88928790,280.62,280.62,282.08,23414208892.6,23414208892.6,23414208892.6,0,3,SUR,3.92
SMAL,2021-01-11,Сбербанк,SBER,57,50616.19,282.0,277.0,290.99,,288.3,288.9,178,,,,0.0,0.0,0.0,0,3,SUR,1.99
TQBR,2021-01-11,Сбербанк,SBER,167977,32387587949.7,282.86,279.48,292.95,288.85,288.3,289.49,112349520,288.23,288.23,288.85,31069344555.6,31069344555.6,31069344555.6,0,3,SUR,2.06
SMAL,2021-01-12,Сбербанк,SBER,44,32615.85,294.31,286.91,295.2,,291.7,288.0,112,,,,0.0,0.0,0.0,0,3,SUR,-0.31
TQBR,2021-01-12,Сбербанк,SBER,131929,23033207791.0,290.88,286.7,296.07,288.45,291.7,289.99,78962360,291.91,291.91,288.45,21641136594.9,21641136594.9,21641136594.9,0,3,SUR,0.17
SMAL,2021-01-13,Сбербанк,SBER,15,11444.2,290.14,284.0,290.14,,286.11,284.0,40,,,,0.0,0.0,0.0,0,3,SUR,-1.39
TQBR,2021-01-13,Сбербанк,SBER,113139,19329406068.2,291.01,283.1,292.46,283.66,286.11,283.78,67559080,286.25,286.25,283.66,18050976362.3,18050976362.3,18050976362.3,0,3,SUR,-2.14
SMAL,2021-01-14,Сбербанк,SBER,24,18958.63,284.0,278.45,286.0,,283.47,283.01,67,,,,0.0,0.0,0.0,0,3,SUR,-0.35
TQBR,2021-01-14,Сбербанк,SBER,121415,21166553940.6,284.0,279.06,286.9,284.28,283.47,284.79,74673700,283.39,283.39,284.28,20120119101.4,20120119101.4,20120119101.4,0,3,SUR,0.36
SMAL,2021-01-15,Сбербанк,SBER,29,15701.31,296.89,276.4,296.89,,280.64,278.99,56,,,,0.0,0.0,0.0,0,3,SUR,-1.42
