TRADEDATE,BOARDID,WAPRICE,CLOSE,OPEN,HIGH,LOW,TRENDCLSPR,NUMTRADES,TradingVolume_RUB,TradingVolume_CONTR,OpenPositionsVolum_RUB,OpenPositionsVolum_CONTR,MarginRequirements
2024-04-01,SiM4,94555.0,94760.0,94480.0,94838.0,94255.0,0.0031,147944.0,58564777979.0,619373.0,563313896880.0,5944638.0,14689.0
2024-04-02,SiM4,94869.0,94801.0,94797.0,95188.0,94565.0,0.0003,146107.0,63343341722.0,667694.0,573761437872.0,6052272.0,14718.0
2024-04-03,SiM4,94559.0,94700.0,94753.0,94990.0,94207.0,-0.0008,164924.0,64939477082.0,686761.0,586910636600.0,6197578.0,14704.0
2024-04-04,SiM4,94537.0,94509.0,94701.0,94745.0,94320.0,-0.002,122706.0,48778023402.0,515968.0,593698355316.0,6281924.0,14673.0
2024-04-05,SiM4,94733.0,94751.0,94467.0,94991.0,94407.0,0.0024,149965.0,58382661537.0,616282.0,598480289348.0,6316348.0,14720.0
2024-04-08,SiM4,94720.0,94801.0,94755.0,94923.0,94552.0,0.0004,119679.0,55163657421.0,582326.0,579843870032.0,6116432.0,14735.0
2024-04-09,SiM4,94991.0,95098.0,94823.0,95150.0,94722.0,0.0036,107205.0,43246737462.0,455270.0,593017053496.0,6235852.0,14768.0
2024-04-10,SiM4,95501.0,95644.0,95124.0,95858.0,95077.0,0.0053,137209.0,66236471768.0,693568.0,594677473416.0,6217614.0,14866.0
2024-04-11,SiM4,95638.0,95253.0,95630.0,96131.0,95057.0,-0.0038,154603.0,72138900979.0,754293.0,590338849764.0,6197588.0,14822.0
2024-04-12,SiM4,95212.0,95095.0,95270.0,95600.0,95000.0,-0.0014000000000000002,128201.0,58645447950.0,615947.0,604509976070.0,6356906.0,14844.0
2024-04-15,SiM4,95252.0,95379.0,95165.0,95429.0,95001.0,0.0026,110170.0,40018517167.0,420133.0,606228351726.0,6355994.0,14893.0
2024-04-16,SiM4,95842.0,96267.0,95365.0,96290.0,95278.0,0.0096,139238.0,74942023870.0,781941.0,594221534880.0,6172640.0,14996.0
2024-04-17,SiM4,95968.0,95813.0,96265.0,96300.0,95682.0,-0.005,138475.0,56019530061.0,583730.0,592983782610.0,6188970.0,14968.0
2024-04-18,SiM4,95474.0,95168.0,95816.0,96050.0,95059.0,-0.006999999999999999,159192.0,74098974225.0,776113.0,607931280640.0,6387980.0,14894.0
2024-04-19,SiM4,94785.0,94645.0,95169.0,95326.0,94405.0,-0.0052,155466.0,68056370564.0,718000.0,616148225210.0,6510098.0,14773.0
2024-04-22,SiM4,94589.0,94690.0,94645.0,94877.0,94310.0,0.0005,107420.0,44339182964.0,468757.0,619625225560.0,6543724.0,14798.0
2024-04-23,SiM4,94472.0,94399.0,94685.0,94721.0,94156.0,-0.0032,112911.0,44810121623.0,474318.0,616116596472.0,6526728.0,14758.0
2024-04-24,SiM4,93916.0,93788.0,94361.0,94449.0,93665.0,-0.0066,138218.0,59048577891.0,628741.0,610033916896.0,6504392.0,14618.0
2024-04-25,SiM4,93802.0,93692.0,93765.0,94045.0,93560.0,-0.0008,145335.0,59157357149.0,630665.0,617437587976.0,6590078.0,14562.0
2024-04-26,SiM4,93384.0,93058.0,93701.0,93980.0,92767.0,-0.006999999999999999,202718.0,83094061904.0,889805.0,631873125800.0,6790100.0,14495.0
2024-04-27,SiM4,93462.0,93901.0,93053.0,93943.0,93037.0,0.0095,100364.0,34970082224.0,374164.0,634829354224.0,6760624.0,14607.0
2024-04-29,SiM4,94375.0,94355.0,93932.0,94720.0,93844.0,0.005,108969.0,36806645796.0,390005.0,638763724160.0,6769792.0,14710.0
2024-04-30,SiM4,94328.0,94229.0,94353.0,94648.0,94011.0,-0.0019,98670.0,32037095007.0,339634.0,635427419302.0,6743438.0,14694.0
2024-05-02,SiM4,93536.0,93504.0,94250.0,94283.0,93121.0,-0.0076,173646.0,70784091555.0,756783.0,632322296064.0,6762516.0,14530.0
2024-05-03,SiM4,93206.0,93116.0,93518.0,93567.0,93047.0,-0.0040999999999999995,133474.0,58601141897.0,628725.0,640686314088.0,6880518.0,14422.0
2024-05-06,SiM4,92816.0,92772.0,93129.0,93465.0,92345.0,-0.0034000000000000002,156741.0,63571460193.0,684924.0,643096617264.0,6932012.0,14370.0
2024-05-07,SiM4,92703.0,92697.0,92829.0,92990.0,92400.0,-0.0014000000000000002,129663.0,49373246361.0,532593.0,641847190974.0,6924142.0,14342.0
2024-05-08,SiM4,93122.0,93120.0,92672.0,93475.0,92635.0,0.005,155840.0,72809456866.0,781874.0,648882136320.0,6968236.0,14444.0
2024-05-10,SiM4,93397.0,93447.0,93110.0,93719.0,93000.0,0.0033,85096.0,29922602006.0,320381.0,653130238464.0,6989312.0,14465.0
2024-05-13,SiM4,92858.0,92502.0,93474.0,93504.0,92500.0,-0.0101,153553.0,65683740432.0,707361.0,644305845636.0,6965318.0,14301.0
