Date,FuturesCode,WeightedAvgPrice,SettlementPrice,FirstDealPrice,MaxPrice,MinPrice,LastDealPrice,Change,VolumeLastDeal,NumOfDeals,TradingVolume RUB,TradingVolume contr,OpenPositionsVolume RUB,OpenPositionsVolume contr,MarginRequirements
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
04.01.2021,SiH1,74 151,74 468,75 175,75 175,73 555,74 473,"-0,97 %",1,628 063,234 450 156 953,3 161 789,195 876 605 928,2 630 346,6 165
05.01.2021,SiH1,75 122,74 747,74 500,75 818,74 403,74 792,"+0,43 %",1,911 840,304 227 626 196,4 049 800,183 061 382 760,2 449 080,6 187
06.01.2021,SiH1,74 323,74 506,74 780,74 780,73 908,74 498,"-0,39 %",1,768 465,235 490 576 934,3 168 486,184 370 163 408,2 474 568,6 165
08.01.2021,SiH1,74 709,74 800,74 455,75 350,74 165,74 770,"+0,36 %",2,866 939,274 503 458 591,3 674 288,185 417 531 200,2 478 844,5 061
11.01.2021,SiH1,75 069,75 298,74 764,75 528,74 510,75 277,"+0,68 %",2,819 343,285 988 439 605,3 809 695,208 163 278 748,2 764 526,5 093
12.01.2021,SiH1,74 689,74 096,75 254,75 274,74 072,74 107,"-1,55 %",1,786 687,282 306 916 536,3 779 774,214 455 460 032,2 894 292,5 010
13.01.2021,SiH1,74 187,74 160,74 082,74 485,73 859,74 155,"+0,06 %",2,737 727,279 730 809 295,3 770 580,209 404 108 800,2 823 680,5 012
14.01.2021,SiH1,74 018,73 857,74 140,74 513,73 692,73 855,"-0,40 %",28,688 338,280 854 677 002,3 794 396,220 087 212 870,2 979 910,4 990
15.01.2021,SiH1,73 969,74 233,73 834,74 368,73 583,74 249,"+0,53 %",2,697 646,280 462 778 507,3 791 603,221 582 832 612,2 984 964,5 006
18.01.2021,SiH1,74 510,74 618,74 212,74 863,73 965,74 618,"+0,50 %",2,634 630,257 796 668 933,3 459 908,238 001 125 092,3 189 594,5 029
19.01.2021,SiH1,74 253,74 187,74 604,74 604,74 037,74 199,"-0,56 %",1,540 150,216 690 489 614,2 918 280,227 081 065 536,3 060 928,4 996
20.01.2021,SiH1,73 939,73 917,74 175,74 223,73 647,73 907,"-0,39 %",1,562 491,235 664 749 884,3 187 283,226 789 034 886,3 068 158,4 974
21.01.2021,SiH1,74 079,74 111,73 914,74 478,73 600,74 098,"+0,26 %",1,598 655,263 779 259 536,3 560 773,249 182 229 524,3 362 284,4 984
22.01.2021,SiH1,74 980,75 553,74 134,75 574,74 134,75 521,"+1,92 %",1,768 967,319 411 999 339,4 259 940,257 762 961 252,3 411 684,5 068
25.01.2021,SiH1,75 663,76 193,75 542,76 230,74 987,76 176,"+0,87 %",2,865 137,384 949 499 719,5 087 697,260 129 454 598,3 414 086,5 106
26.01.2021,SiH1,75 814,75 464,76 168,76 270,75 357,75 480,"-0,91 %",1,844 528,344 113 403 470,4 538 926,234 299 268 848,3 104 782,5 052
27.01.2021,SiH1,75 912,76 066,75 489,76 416,75 267,76 044,"+0,75 %",11,839 421,354 422 779 470,4 668 894,268 934 233 508,3 535 538,5 087
