TRADEDATE,BOARDID,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,TRENDCLSPR
2021-01-04,TQBR,ROSN,22434,2803387975.5,435.85,433.0,442.6,437.65,436.0,6405540,0.21
2021-01-05,TQBR,ROSN,23452,2974641629.5,436.0,433.3,450.7,442.1,449.35,6728320,3.06
2021-01-06,TQBR,ROSN,27750,3697370867.0,449.35,443.7,454.65,449.25,453.7,8230020,0.97
2021-01-08,TQBR,ROSN,42210,6045034443.5,465.1,463.8,481.0,473.2,478.2,12774820,5.4
2021-01-11,TQBR,ROSN,29306,4160569458.5,474.55,464.0,480.1,473.05,473.25,8794770,-1.04
2021-01-12,TQBR,ROSN,22979,3357990352.0,475.0,466.25,479.2,474.15,474.4,7084430,0.24
2021-01-13,TQBR,ROSN,47711,7420922154.0,477.0,476.25,493.95,485.15,485.95,15295510,2.43
2021-01-14,TQBR,ROSN,57572,7664200791.5,485.0,484.05,505.65,497.7,505.0,15398010,3.92
2021-01-15,TQBR,ROSN,56091,9120573506.0,503.0,498.2,519.65,509.5,512.2,17894440,1.43
2021-01-18,TQBR,ROSN,38022,5505232267.5,509.95,505.25,519.0,513.3,516.5,10725300,0.84
2021-01-19,TQBR,ROSN,41143,6435878752.0,518.9,506.65,524.8,513.95,510.7,12521140,-1.12
2021-01-20,TQBR,ROSN,18927,2490966974.0,510.7,507.55,514.7,510.8,510.65,4876400,-0.01
2021-01-21,TQBR,ROSN,33069,4638431492.0,509.3,495.65,512.7,501.2,498.0,9254750,-2.48
2021-01-22,TQBR,ROSN,30828,4273128883.0,495.0,485.0,495.0,490.15,494.25,8716870,-0.75
2021-01-25,TQBR,ROSN,27480,3731328670.5,494.2,485.4,502.8,495.15,495.6,7535710,0.27
2021-01-26,TQBR,ROSN,16609,2222031542.5,492.15,488.1,498.25,493.7,493.95,4500790,-0.33
2021-01-27,TQBR,ROSN,29813,4666574481.5,495.9,480.55,497.9,486.95,481.25,9582470,-2.57
2021-01-28,TQBR,ROSN,23545,2911524260.5,479.85,475.0,485.65,480.35,483.4,6061580,0.45
2021-01-29,TQBR,ROSN,22038,2648522580.0,480.45,472.0,482.45,476.7,473.0,5555870,-2.15
2021-02-01,TQBR,ROSN,20528,3267021096.5,475.1,469.5,478.9,474.1,478.35,6890680,1.13
2021-02-02,TQBR,ROSN,30037,5042776426.0,481.15,479.0,488.8,484.35,482.0,10412280,0.76
2021-02-03,TQBR,ROSN,24048,3689730784.5,487.75,482.15,494.2,487.95,489.95,7562080,1.65
2021-02-04,TQBR,ROSN,25554,3898980062.5,490.35,484.2,497.05,490.9,489.2,7944910,-0.15
2021-02-05,TQBR,ROSN,25044,3768953251.0,492.45,490.35,496.75,493.45,493.95,7638670,0.97
2021-02-08,TQBR,ROSN,30637,3876625872.5,496.0,496.0,503.25,499.95,501.75,7754570,1.58
2021-02-09,TQBR,ROSN,28276,3361445573.5,503.8,492.4,505.0,497.2,494.8,6760660,-1.39
2021-02-10,TQBR,ROSN,19985,2768109736.5,497.45,489.35,498.25,493.65,491.45,5609350,-0.68
2021-02-11,TQBR,ROSN,22830,3316045912.0,490.25,488.15,501.7,496.5,496.8,6678120,1.09
2021-02-12,TQBR,ROSN,41879,5966984032.5,496.95,488.6,509.35,499.3,509.35,11948910,2.53
2021-02-15,TQBR,ROSN,36263,4540347241.5,513.0,508.2,522.45,514.15,521.45,8829940,2.38
2021-02-16,TQBR,ROSN,35069,4572038061.0,522.45,520.5,529.4,524.9,525.6,8710180,0.8
2021-02-17,TQBR,ROSN,40175,5916867410.5,525.0,505.7,528.15,516.75,515.15,11449940,-1.99
2021-02-18,TQBR,ROSN,31512,4955333290.5,515.0,505.5,517.65,510.8,506.85,9701350,-1.61
2021-02-19,TQBR,ROSN,26614,3805802323.5,506.0,504.0,515.15,510.1,512.75,7460830,1.16
2021-02-20,TQBR,ROSN,4994,465864311.0,512.55,509.05,514.0,512.15,513.15,909650,0.08
2021-02-22,TQBR,ROSN,18525,2327976051.0,514.0,509.1,518.9,511.1,516.0,4533130,0.56
2021-02-24,TQBR,ROSN,25531,3481680115.5,511.7,511.15,518.7,513.2,518.25,6758820,0.44
2021-02-25,TQBR,ROSN,47149,7069456803.0,519.45,517.95,536.35,528.2,529.35,13384710,2.14
2021-02-26,TQBR,ROSN,30895,5308920157.0,525.65,520.45,533.2,526.2,523.35,10091350,-1.13
2021-03-01,TQBR,ROSN,20078,2561836671.5,527.55,521.45,530.0,525.35,524.1,4875450,0.14
2021-03-02,TQBR,ROSN,19775,2526862200.0,519.5,518.85,529.85,525.8,526.0,4806100,0.36
2021-03-03,TQBR,ROSN,21637,3178084220.5,528.85,527.6,536.45,533.1,533.8,5961110,1.48
2021-03-04,TQBR,ROSN,42904,6729134336.0,535.1,533.2,549.7,539.55,540.1,12458160,1.18
2021-03-05,TQBR,ROSN,47816,7534079770.5,543.0,541.55,561.95,549.4,561.0,13678500,3.87
2021-03-09,TQBR,ROSN,49805,8214838175.0,559.0,556.0,581.45,572.25,570.6,14355410,1.71
2021-03-10,TQBR,ROSN,32260,5410692993.5,568.75,557.0,573.5,564.75,561.15,9582210,-1.66
2021-03-11,TQBR,ROSN,26026,5428081522.0,563.05,563.05,572.0,567.05,572.0,9572920,1.93
2021-03-12,TQBR,ROSN,19892,3403696454.5,572.75,566.4,574.7,570.7,572.25,5964020,0.04
2021-03-15,TQBR,ROSN,30460,5726500126.5,573.15,572.0,580.75,576.35,576.4,9937060,0.73
2021-03-16,TQBR,ROSN,50593,10066329397.5,574.65,559.3,577.95,568.65,571.2,17701530,-0.9
2021-03-17,TQBR,ROSN,42899,8547272975.0,570.0,551.25,574.1,560.05,555.85,15266980,-2.69
2021-03-18,TQBR,ROSN,39386,6847528876.0,556.0,541.0,559.5,553.1,544.05,12381510,-2.12
2021-03-19,TQBR,ROSN,28369,5152311122.5,543.0,541.6,560.95,552.05,560.3,9333040,2.99
2021-03-22,TQBR,ROSN,24237,4214818692.0,558.4,555.55,566.9,561.65,562.65,7504320,0.42
2021-03-23,TQBR,ROSN,33619,4691572645.0,560.2,556.55,573.45,564.55,565.1,8310320,0.44
2021-03-24,TQBR,ROSN,26365,4456473775.0,566.6,564.25,577.0,570.25,568.05,7812840,0.52
2021-03-25,TQBR,ROSN,20589,3906005250.5,568.65,566.45,574.7,571.35,574.65,6836330,1.16
2021-03-26,TQBR,ROSN,29416,5946818513.5,576.0,575.85,585.15,580.65,582.2,10241580,1.31
2021-03-29,TQBR,ROSN,29753,4804081453.5,579.95,572.0,584.25,577.9,575.3,8312720,-1.19
2021-03-30,TQBR,ROSN,20949,3519713632.5,576.5,565.3,579.2,572.0,570.25,6153150,-0.88
2021-03-31,TQBR,ROSN,24555,5187964040.5,571.15,567.1,574.95,570.75,572.6,9090060,0.41
2021-04-01,TQBR,ROSN,40840,6607834435.0,574.1,561.4,576.75,569.15,568.9,11609740,-0.65
2021-04-02,TQBR,ROSN,7027,584622705.0,568.9,565.6,569.9,567.2,566.65,1030470,-0.4
2021-04-05,TQBR,ROSN,14524,1763839971.5,567.5,557.25,567.75,561.1,560.15,3143400,-1.15
2021-04-06,TQBR,ROSN,26125,3288498789.5,562.25,545.45,563.15,551.5,547.55,5962740,-2.25
2021-04-07,TQBR,ROSN,24128,3389993398.5,547.5,543.25,555.55,550.6,551.5,6156820,0.72
2021-04-08,TQBR,ROSN,17306,2547570147.5,549.9,545.15,554.8,548.9,549.3,4641120,-0.4
2021-04-09,TQBR,ROSN,23667,3393186008.0,547.55,536.05,548.7,540.3,538.0,6280370,-2.06
2021-04-12,TQBR,ROSN,26629,3304951565.0,535.0,532.5,541.35,537.55,540.15,6148360,0.4
2021-04-13,TQBR,ROSN,20382,2653161681.5,541.25,534.55,552.25,542.1,551.95,4894320,2.18
2021-04-14,TQBR,ROSN,20522,3127885044.5,556.0,546.25,556.1,551.35,552.1,5673330,0.03
2021-04-15,TQBR,ROSN,22108,3489925669.0,548.7,545.4,562.6,554.6,556.5,6292810,0.8
2021-04-16,TQBR,ROSN,16930,2221974805.0,560.1,549.2,561.4,554.85,555.05,4004590,-0.26
2021-04-19,TQBR,ROSN,13248,1857981716.0,552.05,546.05,554.7,551.0,548.05,3372020,-1.26
2021-04-20,TQBR,ROSN,19797,2979502085.5,549.9,537.5,553.9,544.35,541.05,5473430,-1.28
2021-04-21,TQBR,ROSN,12229,1530909380.0,540.65,538.65,547.35,543.6,545.7,2816320,0.86
2021-04-22,TQBR,ROSN,21607,3179275357.5,547.0,536.6,547.0,541.05,541.6,5874370,-0.75
2021-04-23,TQBR,ROSN,17841,2744380483.0,543.0,533.95,544.8,537.8,538.5,5103090,-0.57
2021-04-26,TQBR,ROSN,23302,3050939729.5,537.1,527.5,537.85,530.6,530.6,5749850,-1.47
2021-04-27,TQBR,ROSN,21535,2244729396.5,531.0,524.5,533.7,527.95,528.0,4251420,-0.49
2021-04-28,TQBR,ROSN,19098,2409393743.0,529.0,522.1,529.75,525.9,527.95,4581390,-0.01
2021-04-29,TQBR,ROSN,21745,3363990786.5,530.0,526.05,536.1,531.0,528.75,6335350,0.15
2021-04-30,TQBR,ROSN,18177,2698601299.5,528.0,521.55,529.7,525.65,525.2,5134830,-0.67
2021-05-04,TQBR,ROSN,20875,2728170645.0,526.9,526.3,538.15,533.9,537.15,5110110,2.28
2021-05-05,TQBR,ROSN,20082,3303832138.5,540.0,537.05,546.8,542.6,538.65,6088920,0.28
2021-05-06,TQBR,ROSN,15178,2443060644.0,540.5,534.2,542.8,538.55,538.55,4536300,-0.02
2021-05-07,TQBR,ROSN,11647,1706210431.0,540.0,533.25,541.65,538.1,536.2,3172170,-0.44
2021-05-10,TQBR,ROSN,18503,2766919294.0,537.45,533.55,547.5,542.85,541.95,5096980,1.07
2021-05-11,TQBR,ROSN,19814,2799213909.5,540.0,528.6,541.6,534.75,532.0,5234470,-1.84
2021-05-12,TQBR,ROSN,28619,4614729902.0,532.9,529.85,551.3,541.75,542.2,8518710,1.92
2021-05-13,TQBR,ROSN,27822,3527464077.0,540.5,539.5,552.0,547.1,550.0,6448240,1.44
2021-05-14,TQBR,ROSN,15481,2239567213.0,552.0,541.2,553.7,546.05,545.65,4101350,-0.79
2021-05-17,TQBR,ROSN,14568,2086306264.0,546.95,535.9,546.95,541.15,545.55,3855920,-0.02
2021-05-18,TQBR,ROSN,20828,3258449832.5,546.25,538.35,551.0,544.5,540.45,5984510,-0.93
2021-05-19,TQBR,ROSN,21838,2636075795.0,539.7,526.35,539.7,533.0,529.5,4946560,-2.03
2021-05-20,TQBR,ROSN,27126,3418947383.5,529.5,514.3,529.85,519.1,517.35,6586410,-2.29
2021-05-21,TQBR,ROSN,22698,2811542742.0,516.8,515.3,528.55,523.15,525.55,5374100,1.59
2021-05-24,TQBR,ROSN,14929,1659128674.0,526.8,519.3,531.4,524.3,523.95,3164330,-0.3
2021-05-25,TQBR,ROSN,17177,1864407918.5,525.5,523.2,530.45,527.1,524.35,3537160,0.08
2021-05-26,TQBR,ROSN,17392,1974401369.5,526.3,522.2,532.2,526.35,525.85,3751250,0.29
2021-05-27,TQBR,ROSN,12317,2264642530.5,523.0,519.8,525.2,522.65,525.2,4332820,-0.12
2021-05-28,TQBR,ROSN,11581,1507781425.0,523.15,521.0,525.6,523.35,523.35,2880880,-0.35
